Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Mono-Faction?,Custom Trait1,Custom Trait2,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
Jacob Grant,T'au Empire,1,,1,,Custom Sept,1,,,Hardened Warheads,Up-gunned,0,5,0,5,34.40,69.20,0.00%,,,5,,,,,,,,,,,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Collin Watts,T'au Empire,1,1,,1,Custom Sept,1,1,Mono,Hybridised Weaponry,Turbo-jets,3,2,0,5,75.00,73.40,60.00%,60.00%,5,,5,3,2,0,0.60,75.00,73.40,60.00%,60.00%,75.00,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
David Hillström,T'au Empire,1,1,,1,Custom Sept,1,1,Mono,Hardened Warheads,Hybridised Weaponry,1,4,0,5,2.80,17.20,20.00%,20.00%,5,,5,1,4,0,0.20,2.80,17.20,20.00%,20.00%,2.80,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Patrik Nygren,T'au Empire,1,1,,1,Custom Sept,1,1,Mono,Gifted Pilots,Hardened Warheads,2,3,0,5,7.40,12.60,40.00%,40.00%,5,,5,2,3,0,0.40,7.40,12.60,40.00%,40.00%,7.40,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Simon Nunn,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,1,4,0,5,59.60,60.20,20.00%,20.00%,5,,5,1,4,0,0.20,59.60,60.20,20.00%,20.00%,59.60,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Mike DeLange,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,3,3,0,6,57.83,61.17,50.00%,50.00%,6,,6,3,3,0,0.50,57.83,61.17,50.00%,50.00%,57.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Robert Bomer,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,1,2,0,3,33.00,66.67,33.33%,33.33%,3,,3,1,2,0,0.33,33.00,66.67,33.33%,33.33%,33.00,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Robert Lloyd,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,1,2,0,3,78.33,81.00,33.33%,33.33%,3,,3,1,2,0,0.33,78.33,81.00,33.33%,33.33%,78.33,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Johan Persson,Dark Angels,1,1,,1,Dark Angels,1,1,mono,,,3,2,0,5,78.60,70.20,60.00%,60.00%,5,,5,3,2,0,0.60,78.60,70.20,60.00%,60.00%,78.60,No,,Varberg GT,GT Pack,9th Open,28-Aug
Travis Springemann,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,3,2,0,5,70.60,56.60,60.00%,60.00%,5,,5,3,2,0,0.60,70.60,56.60,60.00%,60.00%,70.60,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Ole Hass,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,3,2,0,5,60.80,52.20,60.00%,60.00%,5,,5,3,2,0,0.60,60.80,52.20,60.00%,60.00%,60.80,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
James Fuller,Dark Angels,1,,1,1,Dark Angels,1,1,,,,3,2,0,5,72.00,62.60,60.00%,,,5,,,,,0.60,72.00,62.60,,60.00%,,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Ethan Holt,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,2,4,0,6,57.50,66.83,33.33%,33.33%,6,,6,2,4,0,0.33,57.50,66.83,33.33%,33.33%,57.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
Sean Brown,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,0,6,0,6,43.50,78.83,0.00%,0.00%,6,,6,0,6,0,0.00,43.50,78.83,0.00%,0.00%,43.50,No,,Iron Halo,GT Pack,9th Open,26-Sep
Jon Phipps,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,1,4,0,5,59.80,83.20,20.00%,20.00%,5,,5,1,4,0,0.20,59.80,83.20,20.00%,20.00%,59.80,No,,Stay Safe and Play GT,GT Pack,9th Open,26-Sep
Nick McDaid,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,1,2,1,4,45.75,53.25,37.50%,37.50%,4,,4,1,2,1,0.38,45.75,53.25,37.50%,37.50%,45.75,No,,Stay Safe and Play GT,GT Pack,9th Open,26-Sep
James Weston,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,2,3,0,5,50.80,61.80,40.00%,40.00%,5,,5,2,3,0,0.40,50.80,61.80,40.00%,40.00%,50.80,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Blair Taylor,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,2,3,0,5,35.80,69.20,40.00%,40.00%,5,,5,2,3,0,0.40,35.80,69.20,40.00%,40.00%,35.80,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Johan Persson,Dark Angels,1,1,,1,Dark Angels,1,1,,,,3,2,0,5,89.00,58.20,60.00%,,5,,,3,2,0,0.60,89.00,58.20,60.00%,60.00%,89.00,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Sean Kimmorley,Dark Angels,1,1,,1,Dark Angels,1,1,Mono,,,1,2,0,3,52.33,54.00,33.33%,33.33%,3,,3,1,2,0,0.33,52.33,54.00,33.33%,33.33%,52.33,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Sean Kimmorley,Dark Angels,1,,1,,Dark Angels,1,,,,,1,2,0,3,52.33,54.00,33.33%,,,3,,,,,,,,,,,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Andreas Ådén,Dark Angels,1,1,,1,Dark Angels,1,1,mono,,,2,3,0,5,10.80,9.20,40.00%,40.00%,5,,5,2,3,0,0.40,10.80,9.20,40.00%,40.00%,10.80,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Viet Win,Astra Militarum,1,1,,1,Death Korps of Krieg,1,1,Mono,,,2,3,1,6,89.17,86.17,41.67%,41.67%,6,,6,2,3,1,0.42,89.17,86.17,41.67%,41.67%,89.17,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Viet Win,Astra Militarum,1,,1,,Death Korps of Krieg,1,,,,,2,3,1,6,89.17,86.17,41.67%,,,6,,,,,,,,,,,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Andreas Heim,Astra Militarum,1,,1,,Death Korps of Krieg,1,1,,,,2,3,0,5,55.80,65.60,40.00%,,,5,,,,,,,,,40.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Jonathan Aylett,Orks,1,1,,1,Deathskulls,1,1,Mono,,,2,4,0,6,61.33,79.17,33.33%,33.33%,6,,6,2,4,0,0.33,61.33,79.17,33.33%,33.33%,61.33,No,,Vanguard Tactics GS,GT Pack,9th Open,1-Aug
Andy Penn,Orks,1,1,,1,Deathskulls,1,1,Mono,,,5,0,0,5,84.60,46.60,100.00%,100.00%,5,,5,5,0,0,1.00,84.60,46.60,100.00%,100.00%,84.60,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Vadd Moeung,Orks,1,1,,1,Deathskulls,1,1,Mono,,,1,4,0,5,31.80,47.00,20.00%,20.00%,5,,5,1,4,0,0.20,31.80,47.00,20.00%,20.00%,31.80,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Seth Oster,Orks,1,1,,1,Deathskulls,1,1,Mono,,,4,1,0,5,79.00,55.60,80.00%,80.00%,5,,5,4,1,0,0.80,79.00,55.60,80.00%,80.00%,79.00,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Bjorn Olsen,Orks,1,1,,1,Deathskulls,1,1,Mono,,,4,1,0,5,83.80,48.60,80.00%,80.00%,5,,5,4,1,0,0.80,83.80,48.60,80.00%,80.00%,83.80,No,,Invasion GT,GT Pack,9th Open,12-Sep
Inge Marcussen,Orks,1,1,,1,Deathskulls,1,1,Mono,,,4,1,0,5,61.20,69.60,80.00%,80.00%,5,,5,4,1,0,0.80,61.20,69.60,80.00%,80.00%,61.20,No,,Invasion GT,GT Pack,9th Open,12-Sep
Jonathan Nymoen,Orks,1,1,,1,Deathskulls,1,1,Mono,,,2,2,0,4,71.00,76.50,50.00%,50.00%,4,,4,2,2,0,0.50,71.00,76.50,50.00%,50.00%,71.00,No,,Invasion GT,GT Pack,9th Open,12-Sep
James Keller,Orks,1,1,,1,Deathskulls,1,1,Mono,,,2,3,0,5,73.60,80.80,40.00%,40.00%,5,,5,2,3,0,0.40,73.60,80.80,40.00%,40.00%,73.60,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Colin Kay,Orks,1,1,,1,Deathskulls,1,1,Mono,,,3,3,0,6,73.17,67.67,50.00%,50.00%,6,,6,3,3,0,0.50,73.17,67.67,50.00%,50.00%,73.17,No,,Iron Halo,GT Pack,9th Open,26-Sep
Marc Parker,Orks,1,1,,1,Deathskulls,1,1,Mono,,,2,1,0,3,78.33,58.00,66.67%,66.67%,3,,3,2,1,0,0.67,78.33,58.00,66.67%,66.67%,78.33,No,,Iron Halo,GT Pack,9th Open,26-Sep
James Davis,Orks,1,1,,1,Deathskulls,1,1,Mono,,,3,2,0,5,58.80,67.20,60.00%,60.00%,5,,5,3,2,0,0.60,58.80,67.20,60.00%,60.00%,58.80,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Rich Kilton,Orks,1,1,,1,Deathskulls,1,1,Mono,,,3,2,0,5,81.60,62.00,60.00%,60.00%,5,,5,3,2,0,0.60,81.60,62.00,60.00%,60.00%,81.60,No,,Red Rock Exterminatus,GT Pack,9th Open,26-Sep
Forrest Castle,Orks,1,,1,,Deathskulls,1,1,,,,4,1,0,5,70.00,54.00,80.00%,,,5,,,,,,,,,80.00%,,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Tarzan <3,Orks,1,1,,1,Deathskulls,1,1,Mono,,,3,2,0,5,75.80,65.00,60.00%,60.00%,5,,5,3,2,0,0.60,75.80,65.00,60.00%,60.00%,75.80,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Artem Musiienko,Orks,1,,1,,Deathskulls,1,1,,,,4,1,0,5,60.80,45.60,80.00%,,,5,,,,,,,,,80.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Frank Studemann,Orks,1,1,,1,Deathskulls,1,1,mono,,,3,1,1,5,60.80,44.80,70.00%,70.00%,5,,5,3,1,1,0.70,60.80,44.80,70.00%,70.00%,60.80,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Jens Stark,Orks,1,1,,1,Deathskulls,1,1,Mono,,,3,2,0,5,56.20,47.40,60.00%,60.00%,5,,5,3,2,0,0.60,56.20,47.40,60.00%,60.00%,56.20,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Stefan Steppe,Orks,1,1,,1,Deathskulls,1,1,Mono,,,2,3,0,5,51.00,53.20,40.00%,40.00%,5,,5,2,3,0,0.40,51.00,53.20,40.00%,40.00%,51.00,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Thomas Brutscher,Orks,1,,1,,Deathskulls,1,1,,,,4,1,0,5,66.60,50.00,80.00%,,,5,,,,,,,,,80.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Kenneth Edmonson,Deathwatch,1,1,,1,Deathwatch,1,1,mono,,,1,5,0,6,48.67,77.17,16.67%,16.67%,6,,6,1,5,0,0.17,48.67,77.17,16.67%,16.67%,48.67,No,,Iron Halo,GT Pack,9th Open,26-Sep
Chris Wallace,Deathwatch,1,1,,1,Deathwatch,1,1,Mono,,,2,3,0,5,67.80,75.00,40.00%,40.00%,5,,5,2,3,0,0.40,67.80,75.00,40.00%,40.00%,67.80,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Adam Napier,Adeptus Custodes,1,,1,1,Dread Host,1,1,,,,4,1,0,5,63.60,38.60,80.00%,,,5,,,,,0.80,63.60,38.60,,80.00%,,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Dylan Brandon,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,1,5,0,6,47.17,81.00,16.67%,16.67%,6,,6,1,5,0,0.17,47.17,81.00,16.67%,16.67%,47.17,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Marvin Sims,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,5,1,0,6,79.33,67.17,83.33%,83.33%,6,,6,5,1,0,0.83,79.33,67.17,83.33%,83.33%,79.33,Yes,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Scott Blegen,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,4,2,0,6,79.00,65.33,66.67%,66.67%,6,,6,4,2,0,0.67,79.00,65.33,66.67%,66.67%,79.00,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Trenton Sample,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,4,0,6,62.33,74.67,33.33%,33.33%,6,,6,2,4,0,0.33,62.33,74.67,33.33%,33.33%,62.33,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Ben Barker,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,3,0,5,62.60,75.80,40.00%,40.00%,5,,5,2,3,0,0.40,62.60,75.80,40.00%,40.00%,62.60,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Luke Henley,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,0,5,0,5,41.20,80.80,0.00%,0.00%,5,,5,0,5,0,0.00,41.20,80.80,0.00%,0.00%,41.20,No,,Battle for Survival,GT Pack,9th Open,14-Aug
Johannes Wadin,Adeptus Custodes,1,,1,1,Dread Host,1,1,,,,3,2,0,5,80.40,66.60,60.00%,,,5,,,,,0.60,80.40,66.60,,60.00%,,No,,Varberg GT,GT Pack,9th Open,28-Aug
Brendan Nagle,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,2,1,5,61.20,61.80,50.00%,50.00%,5,,5,2,2,1,0.50,61.20,61.80,50.00%,50.00%,61.20,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Ian Utbjoa,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,3,2,0,5,76.80,68.80,60.00%,60.00%,5,,5,3,2,0,0.60,76.80,68.80,60.00%,60.00%,76.80,No,,Invasion GT,GT Pack,9th Open,12-Sep
Jan-Henrik Paulsen,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,3,0,5,64.60,66.80,40.00%,40.00%,5,,5,2,3,0,0.40,64.60,66.80,40.00%,40.00%,64.60,No,,Invasion GT,GT Pack,9th Open,12-Sep
Michael Saether,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,4,1,0,5,75.40,59.00,80.00%,80.00%,5,,5,4,1,0,0.80,75.40,59.00,80.00%,80.00%,75.40,No,,Invasion GT,GT Pack,9th Open,12-Sep
Nathan Bates,Adeptus Custodes,1,,1,,Dread Host,1,1,,,,3,2,1,6,66.33,60.17,58.33%,,,6,,,,,,,,,58.33%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Nathaniel Thompson,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,3,3,0,6,74.00,71.50,50.00%,50.00%,6,,6,3,3,0,0.50,74.00,71.50,50.00%,50.00%,74.00,No,,Iron Halo,GT Pack,9th Open,26-Sep
Trenton Sample,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,4,0,6,68.00,70.50,33.33%,33.33%,6,,6,2,4,0,0.33,68.00,70.50,33.33%,33.33%,68.00,No,,Iron Halo,GT Pack,9th Open,26-Sep
Andrew Chapline,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,3,2,0,5,69.40,49.80,60.00%,60.00%,5,,5,3,2,0,0.60,69.40,49.80,60.00%,60.00%,69.40,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Antonio Cedeno,Adeptus Custodes,1,1,,1,Dread Host,1,1,mono,,,3,2,0,5,72.20,72.60,60.00%,60.00%,5,,5,3,2,0,0.60,72.20,72.60,60.00%,60.00%,72.20,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Greg Harris,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,2,1,5,67.00,61.00,50.00%,50.00%,5,,5,2,2,1,0.50,67.00,61.00,50.00%,50.00%,67.00,No,,San Antonio Shootout,GT Pack,9th Open,26-Sep
Johannes Wadin,Adeptus Custodes,1,,1,1,Dread Host,1,1,,,,3,2,0,5,74.00,73.40,60.00%,,,5,,,,,0.60,74.00,73.40,,60.00%,,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Adam Rosa,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,1,0,3,52.00,56.67,66.67%,66.67%,3,,3,2,1,0,0.67,52.00,56.67,66.67%,66.67%,52.00,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Taylor Bryant,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,2,3,0,5,66.40,72.40,40.00%,40.00%,5,,5,2,3,0,0.40,66.40,72.40,40.00%,40.00%,66.40,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
Daniel Tercha,Adeptus Custodes,1,1,,1,Dread Host,1,1,Mono,,,3,1,1,5,13.40,6.60,70.00%,70.00%,5,,5,3,1,1,0.70,13.40,6.60,70.00%,70.00%,13.40,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Joscha Schmitz,Adeptus Custodes,1,1,,1,Dread Host,1,1,,,,2,3,0,5,48.40,66.20,40.00%,,5,,,2,3,0,0.40,48.40,66.20,40.00%,40.00%,48.40,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
John Partridge,Harlequins,1,1,,1,Dreaming Shadow,1,1,,,,3,3,0,6,70.00,69.33,50.00%,,6,,,3,3,0,0.50,70.00,69.33,50.00%,50.00%,70.00,No,,Vanguard Tactics GS,GT Pack,9th Open,1-Aug
Cullen Burns,Harlequins,1,,1,1,Dreaming Shadow,1,1,,,,4,2,0,6,78.83,70.83,66.67%,,,6,,,,,0.67,78.83,70.83,,66.67%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Mark Crombleholme,Harlequins,1,1,,1,Dreaming Shadow,1,1,,,,3,2,0,5,71.80,73.60,60.00%,,5,,,3,2,0,0.60,71.80,73.60,60.00%,60.00%,71.80,No,,Stay Safe and Play GT,GT Pack,9th Open,26-Sep
Joshua Strathearn,Chaos Space Marines,1,1,,1,Emperor's Children,1,1,Mono,,,3,2,0,5,54.20,49.60,60.00%,60.00%,5,,5,3,2,0,0.60,54.20,49.60,60.00%,60.00%,54.20,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Mark Perry,Chaos Space Marines,1,,1,1,Emperor's Children,1,1,,,,4,1,0,5,81.80,49.20,80.00%,,,5,,,,,0.80,81.80,49.20,,80.00%,,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Magnus Liene,Chaos Space Marines,1,1,,1,Emperor's Children,1,1,,,,4,1,0,5,82.00,62.60,80.00%,,5,,,4,1,0,0.80,82.00,62.60,80.00%,80.00%,82.00,No,,Invasion GT,GT Pack,9th Open,12-Sep
Daniel Burns,Chaos Space Marines,1,1,,1,Emperor's Children,1,1,Mono,,,2,3,0,5,65.00,75.40,40.00%,40.00%,5,,5,2,3,0,0.40,65.00,75.40,40.00%,40.00%,65.00,No,,Brisbane GT,GT Pack,9th Open,19-Sep
Chris Rethemeier,Chaos Space Marines,1,1,,1,Emperor's Children,1,1,mono,,,1,4,0,5,54.40,77.80,20.00%,20.00%,5,,5,1,4,0,0.20,54.40,77.80,20.00%,20.00%,54.40,No,,Iron Halo,GT Pack,9th Open,26-Sep
Dan Cornwell,Chaos Space Marines,1,,1,1,Emperor's Children,1,1,,,,4,2,0,6,66.67,73.17,66.67%,,,6,,,,,0.67,66.67,73.17,,66.67%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Mark Perry,Chaos Space Marines,1,,1,1,Emperor's Children,1,1,,,,4,2,0,6,79.33,61.67,66.67%,,,6,,,,,0.67,79.33,61.67,,66.67%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Jimmy Pettersson,Chaos Space Marines,1,,1,1,Emperor's Children,1,1,,,,2,3,0,5,81.00,82.60,40.00%,,,5,,,,,0.40,81.00,82.60,,40.00%,,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Tomas Christensson,Chaos Space Marines,1,1,,1,Emperor's Children,1,1,Mono,,,2,3,0,5,76.80,74.80,40.00%,40.00%,5,,5,2,3,0,0.40,76.80,74.80,40.00%,40.00%,76.80,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Daniel Burgoyne,Chaos Space Marines,1,1,,1,Emperor's Children,1,1,mono,,,2,3,0,5,63.00,50.80,40.00%,40.00%,5,,5,2,3,0,0.40,63.00,50.80,40.00%,40.00%,63.00,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Jamil Seif,Chaos Space Marines,1,,1,,Emperor's Children,1,1,,,,3,2,0,5,63.40,55.40,60.00%,,,5,,,,,,,,,60.00%,,No,,Hanseatic Open,GT Pack,9th Open,3-Oct
Vadd Moeung,Orks,1,,1,,Evil Sunz,1,1,,,,1,4,0,5,31.80,47.00,20.00%,,,5,,,,,,,,,20.00%,,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Colin Kay,Orks,1,,1,,Evil Sunz,1,1,,,,3,3,0,6,73.17,67.67,50.00%,,,6,,,,,,,,,50.00%,,No,,Iron Halo,GT Pack,9th Open,26-Sep
Moses Svalander,Orks,1,1,,1,Evil Sunz,1,1,Mono,,,2,3,0,5,60.60,80.00,40.00%,40.00%,5,,5,2,3,0,0.40,60.60,80.00,40.00%,40.00%,60.60,No,,WCT GT 2,GT Pack,9th Open,26-Sep
Forrest Castle,Orks,1,1,,1,Evil Sunz,1,1,Mono,,,4,1,0,5,70.00,54.00,80.00%,80.00%,5,,5,4,1,0,0.80,70.00,54.00,80.00%,80.00%,70.00,No,,NSW Iron Man,GT Pack,9th Open,26-Sep
Niklas Nygren,Orks,1,1,,1,Evil Sunz,1,1,Mono,,,3,2,0,5,8.60,11.40,60.00%,60.00%,5,,5,3,2,0,0.60,8.60,11.40,60.00%,60.00%,8.60,No,,Fantasia Fanatic XXXVIII,WTC Scoring,9th Open,3-Oct
Tim Skrenya,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,1,3,0,4,29.75,43.50,25.00%,25.00%,4,,4,1,3,0,0.25,29.75,43.50,25.00%,25.00%,29.75,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Tim Skrenya,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,1,3,0,4,29.75,43.50,25.00%,,,4,,,,,,,,,,,No,,Adelaide GT,GT Pack,9th Open,1-Aug
Logan Nuessen,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,3,3,0,6,59.83,76.00,50.00%,50.00%,6,,6,3,3,0,0.50,59.83,76.00,50.00%,50.00%,59.83,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Samuel Hank,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,4,2,0,6,67.50,56.67,66.67%,66.67%,6,,6,4,2,0,0.67,67.50,56.67,66.67%,66.67%,67.50,No,,Flying Monkey Con,GT Pack,9th Open,14-Aug
Joshua Herrera,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,2,3,0,5,60.00,67.40,40.00%,40.00%,5,,5,2,3,0,0.40,60.00,67.40,40.00%,40.00%,60.00,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Joshua Herrera,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,3,0,5,60.00,67.40,40.00%,,,5,,,,,,,,,,,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Namon Allen,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,2,2,1,5,57.40,66.40,50.00%,50.00%,5,,5,2,2,1,0.50,57.40,66.40,50.00%,50.00%,57.40,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Namon Allen,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,2,1,5,57.40,66.40,50.00%,,,5,,,,,,,,,,,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Namon Allen,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,2,1,5,57.40,66.40,50.00%,,,5,,,,,,,,,,,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Schuyler Quinn,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,2,3,0,5,63.20,63.00,40.00%,40.00%,5,,5,2,3,0,0.40,63.20,63.00,40.00%,40.00%,63.20,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Schuyler Quinn,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,3,0,5,63.20,63.00,40.00%,,,5,,,,,,,,,,,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Stan the T-Rex,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,2,3,0,5,64.60,53.60,40.00%,40.00%,5,,5,2,3,0,0.40,64.60,53.60,40.00%,40.00%,64.60,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Stan the T-Rex,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,3,0,5,64.60,53.60,40.00%,,,5,,,,,,,,,,,No,,Warzone: Giga-Bytes IV,GT Pack,9th Open,8-Aug
Mark Suson,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,2,3,0,5,61.20,74.40,40.00%,40.00%,5,,5,2,3,0,0.40,61.20,74.40,40.00%,40.00%,61.20,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Mark Suson,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,3,0,5,61.20,74.40,40.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Mark Suson,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,3,0,5,61.20,74.40,40.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Michael Aigner,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,2,3,0,5,57.40,70.80,40.00%,40.00%,5,,5,2,3,0,0.40,57.40,70.80,40.00%,40.00%,57.40,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Michael Aigner,T'au Empire,1,,1,,Farsight Enclaves,1,,,,,2,3,0,5,57.40,70.80,40.00%,,,5,,,,,,,,,,,No,,YHP Labor Day GT,GT Pack,9th Open,5-Sep
Logan Nuessen,T'au Empire,1,1,,1,Farsight Enclaves,1,1,Mono,,,1,5,0,6,55.00,75.67,16.67%,16.67%,6,,6,1,5,0,0.17,55.00,75.67,16.67%,16.67%,55.00,No,,Iron Halo,GT Pack,9th Open,26-Sep
Collin Watts,T'au Empire,1,,1,,Farsight Enclaves,1,1,,,,3,2,0,5,75.00,73.40,60.00%,,,5,,,,,,,,,60.00%,,No,,Octoberfest 2020,GT Pack,9th Open,3-Oct
